accuracy,loss,val_accuracy,val_loss
0.734670877456665,0.47834280133247375,0.7348963022232056,0.4383833110332489
0.7351217269897461,0.45793721079826355,0.7348963022232056,0.4370836317539215
0.7353471517562866,0.44636836647987366,0.7348963022232056,0.43274104595184326
0.7382777333259583,0.44780415296554565,0.7348963022232056,0.4326094388961792
0.7423354387283325,0.43709325790405273,0.742110013961792,0.4301455616950989
0.742110013961792,0.437286913394928,0.7385031580924988,0.43251314759254456
0.7441388368606567,0.4349921643733978,0.7439134120941162,0.4338289201259613
0.7445897459983826,0.4268970191478729,0.7475202679634094,0.4347801208496094
0.7466185688972473,0.42924776673316956,0.740306556224823,0.43138110637664795
0.744364321231842,0.4288577735424042,0.7439134120941162,0.433918833732605
0.7445897459983826,0.4238712787628174,0.7493237257003784,0.4354701340198517
0.7513525485992432,0.41980570554733276,0.7493237257003784,0.43211889266967773
0.74774569272995,0.4202921688556671,0.7439134120941162,0.4361319839954376
0.7497745752334595,0.4191824495792389,0.7484220266342163,0.43782317638397217
0.7513525485992432,0.41501688957214355,0.7466185688972473,0.4392580986022949
0.7524797320365906,0.41699159145355225,0.7475202679634094,0.43751847743988037
0.7581154108047485,0.4132067561149597,0.7502254247665405,0.4409768581390381
0.7538322806358337,0.41241252422332764,0.7538322806358337,0.4435195028781891
0.7560865879058838,0.4085893929004669,0.7493237257003784,0.4440902769565582
0.7567628622055054,0.40592342615127563,0.7565374374389648,0.4471853971481323
